epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.484,1.16978,2.11217,1.40758,0.80391,0.36748,0.49551,0.27162,1.24752,2.95628,1.79502,0.000543319,0.000543319,0.000543319
2,337.998,1.24983,1.5689,1.3947,0.56869,0.46585,0.48763,0.2423,1.58952,2.70109,2.10329,0.00107723,0.00107723,0.00107723
3,499.66,1.29198,1.50169,1.46523,0.51428,0.51711,0.44278,0.19036,1.87224,2.95739,2.56965,0.00158913,0.00158913,0.00158913
4,661.207,1.30171,1.41165,1.4512,0.56746,0.67044,0.68189,0.30004,1.78884,2.75451,2.98938,0.00156798,0.00156798,0.00156798
5,822.255,1.28402,1.3927,1.48548,0.85173,0.66288,0.77905,0.42417,1.513,2.02087,2.03111,0.00153497,0.00153497,0.00153497
6,983.35,1.22254,1.27378,1.41434,0.69338,0.71158,0.75288,0.37976,1.49272,1.87235,1.9419,0.00150197,0.00150197,0.00150197
7,1140.77,1.24083,1.20619,1.42202,0.88047,0.7214,0.84137,0.46669,1.46419,1.43614,1.82987,0.00146896,0.00146896,0.00146896
8,1294.38,1.1871,1.16056,1.40322,0.85891,0.79352,0.86428,0.51311,1.30467,1.24815,1.7147,0.00143595,0.00143595,0.00143595
9,1446.46,1.19333,1.12633,1.39249,0.87214,0.76623,0.85314,0.48859,1.32367,1.30399,1.71657,0.00140295,0.00140295,0.00140295
10,1599.79,1.1619,1.07243,1.35822,0.81742,0.73872,0.82032,0.51564,1.27532,1.27243,1.62728,0.00136994,0.00136994,0.00136994
11,1753,1.15659,1.02722,1.36951,0.8052,0.81655,0.88509,0.50297,1.33026,1.16326,1.69828,0.00133693,0.00133693,0.00133693
12,1906.26,1.11943,0.99452,1.33813,0.83367,0.77314,0.83517,0.50873,1.31869,1.29494,1.67821,0.00130393,0.00130393,0.00130393
13,2059.71,1.16118,0.97233,1.3288,0.83614,0.79821,0.87514,0.52108,1.27675,1.13127,1.66377,0.00127092,0.00127092,0.00127092
14,2214.37,1.11538,0.93634,1.33334,0.91905,0.84379,0.91061,0.56146,1.19374,1.02849,1.54521,0.00123791,0.00123791,0.00123791
15,2368.41,1.10633,0.92435,1.33594,0.82697,0.80172,0.8486,0.49189,1.34214,1.14168,1.66918,0.00120491,0.00120491,0.00120491
16,2523.1,1.05115,0.85568,1.29823,0.85436,0.75892,0.8339,0.53302,1.18328,1.24149,1.51182,0.0011719,0.0011719,0.0011719
17,2677.48,1.06322,0.86336,1.31266,0.83448,0.83866,0.88652,0.5303,1.24406,1.03736,1.57853,0.00113889,0.00113889,0.00113889
18,2832.56,1.04596,0.86018,1.30133,0.86299,0.80698,0.88089,0.55185,1.24288,1.1311,1.6482,0.00110589,0.00110589,0.00110589
19,2988.25,1.0499,0.83266,1.2914,0.84632,0.77954,0.86139,0.4774,1.38389,1.21392,1.81375,0.00107288,0.00107288,0.00107288
20,3143.77,1.03762,0.82202,1.2678,0.90885,0.85951,0.92419,0.59557,1.18401,0.829,1.53712,0.00103987,0.00103987,0.00103987
21,3298.34,1.04479,0.78265,1.25849,0.91505,0.87074,0.92642,0.61245,1.11985,0.82923,1.45425,0.00100687,0.00100687,0.00100687
22,3452.69,1.00378,0.76944,1.2455,0.91878,0.83637,0.9208,0.60694,1.11424,0.83405,1.44515,0.000973861,0.000973861,0.000973861
23,3607.76,1.0178,0.79275,1.25832,0.89607,0.85268,0.92969,0.59577,1.18098,0.82866,1.49787,0.000940855,0.000940855,0.000940855
24,3760.34,1.01444,0.75622,1.2485,0.92721,0.86266,0.93102,0.6111,1.09675,0.79479,1.44317,0.000907848,0.000907848,0.000907848
25,3911.18,0.99426,0.7419,1.23399,0.93012,0.85278,0.92166,0.61866,1.12324,0.77462,1.44446,0.000874842,0.000874842,0.000874842
26,4062.96,0.99445,0.74064,1.23156,0.8787,0.85685,0.91853,0.60239,1.08501,0.83741,1.43049,0.000841835,0.000841835,0.000841835
27,4216.81,0.97397,0.71419,1.21869,0.89989,0.87833,0.9412,0.64926,1.04887,0.73094,1.37296,0.000808828,0.000808828,0.000808828
28,4366.91,0.95839,0.72152,1.22584,0.90064,0.85598,0.91713,0.6167,1.09606,0.77242,1.42364,0.000775822,0.000775822,0.000775822
29,4515.47,0.91319,0.69766,1.23007,0.9178,0.84199,0.9271,0.62625,1.08734,0.78876,1.44287,0.000742815,0.000742815,0.000742815
30,4664.91,0.94712,0.68325,1.19832,0.92766,0.87278,0.93356,0.62917,1.09564,0.73966,1.42867,0.000709809,0.000709809,0.000709809
31,4814.22,0.9321,0.67062,1.21049,0.92271,0.88764,0.94033,0.63449,1.07777,0.73738,1.40893,0.000676802,0.000676802,0.000676802
32,4963.39,0.95639,0.6696,1.20485,0.92395,0.87121,0.94371,0.62517,1.06375,0.71762,1.38536,0.000643795,0.000643795,0.000643795
33,5111.42,0.90812,0.64667,1.19234,0.91446,0.88514,0.94511,0.64637,1.04611,0.65828,1.37561,0.000610789,0.000610789,0.000610789
34,5259.04,0.8872,0.64647,1.18623,0.91846,0.86222,0.94196,0.63589,1.05584,0.715,1.38096,0.000577782,0.000577782,0.000577782
35,5406.87,0.89464,0.62177,1.17728,0.92895,0.86828,0.94295,0.65275,1.05144,0.67069,1.36515,0.000544776,0.000544776,0.000544776
36,5556.02,0.89195,0.63029,1.18969,0.9207,0.89669,0.94982,0.65573,1.04937,0.68317,1.3757,0.000511769,0.000511769,0.000511769
37,5705.02,0.88326,0.61249,1.17595,0.92086,0.88574,0.94767,0.6684,1.01622,0.68093,1.33889,0.000478762,0.000478762,0.000478762
38,5853.75,0.87165,0.61916,1.17993,0.93895,0.90196,0.95298,0.67083,1.00617,0.64729,1.31791,0.000445756,0.000445756,0.000445756
39,6003.12,0.86938,0.58862,1.15768,0.92784,0.8876,0.95041,0.65267,1.02711,0.64722,1.35176,0.000412749,0.000412749,0.000412749
40,6151.74,0.84504,0.58348,1.15763,0.93918,0.89311,0.95922,0.67594,0.98237,0.59033,1.30002,0.000379743,0.000379743,0.000379743
